Env,Size,Reward type,Game id,Final reward,Num edges,t* index,density,avg_degree,max_degree,avg_clustering,num_components,avg_shortest_path
Global,12,complete,41,0.0,53,6,0.803030303030303,8.833333333333334,11,0.887878787878788,1,1.196969696969697
Global,12,complete,42,-0.9089228481465312,54,6,0.8181818181818182,9.0,11,0.8770803270803272,1,1.1818181818181819
Global,12,complete,43,1.4210854715202004e-14,54,6,0.8181818181818182,9.0,11,0.8868686868686867,1,1.1818181818181819
Global,12,complete,44,-2.842170943040401e-14,54,6,0.8181818181818182,9.0,11,0.8839646464646465,1,1.1818181818181819
Global,12,complete,45,-1.4210854715202004e-14,54,6,0.8181818181818182,9.0,11,0.8839646464646465,1,1.1818181818181819
Global,12,complete,46,0.0,52,6,0.7878787878787878,8.666666666666666,11,0.8761483886483887,1,1.2121212121212122
Global,12,complete,47,0.0,52,6,0.7878787878787878,8.666666666666666,11,0.8761483886483887,1,1.2121212121212122
Global,12,complete,48,1.4210854715202004e-14,54,6,0.8181818181818182,9.0,11,0.886868686868687,1,1.1818181818181819
Global,12,complete,49,-0.13629669484373608,52,6,0.7878787878787878,8.666666666666666,11,0.8707912457912458,1,1.2121212121212122
Global,12,central,0,-0.12518671995728425,51,6,0.7727272727272727,8.5,11,0.867953342953343,1,1.2272727272727273
Global,12,central,1,-1.4210854715202004e-14,54,7,0.8181818181818182,9.0,11,0.890909090909091,1,1.1818181818181819
Global,12,central,2,-1.4210854715202004e-14,52,7,0.7878787878787878,8.666666666666666,11,0.8892255892255893,1,1.2121212121212122
Global,12,central,3,1.4210854715202004e-14,53,7,0.803030303030303,8.833333333333334,11,0.8885521885521884,1,1.196969696969697
Global,12,central,4,1.4210854715202004e-14,53,7,0.803030303030303,8.833333333333334,11,0.8885521885521884,1,1.196969696969697
Global,12,central,5,-4.263256414560601e-14,52,6,0.7878787878787878,8.666666666666666,11,0.8761483886483886,1,1.2121212121212122
Global,12,central,6,-1.4210854715202004e-14,52,6,0.7878787878787878,8.666666666666666,11,0.8761483886483886,1,1.2121212121212122
Global,12,central,7,2.842170943040401e-14,53,7,0.803030303030303,8.833333333333334,11,0.8885521885521884,1,1.196969696969697
Global,12,central,8,-1.4210854715202004e-14,54,7,0.8181818181818182,9.0,11,0.890909090909091,1,1.1818181818181819
Global,12,central,9,-0.11570718947842806,52,6,0.7878787878787878,8.666666666666666,11,0.8713203463203462,1,1.2121212121212122
Global,12,central,10,-1.0000000000000142,52,6,0.7878787878787878,8.666666666666666,11,0.8364478114478113,1,1.2121212121212122
Global,12,central,11,-2.842170943040401e-14,52,6,0.7878787878787878,8.666666666666666,11,0.8761483886483886,1,1.2121212121212122
Global,12,central,12,-0.744961128297291,52,7,0.7878787878787878,8.666666666666666,11,0.8758658008658008,1,1.2121212121212122
Global,12,central,13,-1.4210854715202004e-14,54,7,0.8181818181818182,9.0,11,0.890909090909091,1,1.1818181818181819
Global,12,central,14,-0.009295215085415975,51,6,0.7727272727272727,8.5,11,0.8727813852813853,1,1.2272727272727273
Global,12,central,15,-0.5857864376269077,53,6,0.803030303030303,8.833333333333334,11,0.8825998075998077,1,1.196969696969697
Global,12,central,16,-4.263256414560601e-14,52,6,0.7878787878787878,8.666666666666666,11,0.8761483886483886,1,1.2121212121212122
Global,12,central,17,2.842170943040401e-14,53,7,0.803030303030303,8.833333333333334,11,0.8885521885521884,1,1.196969696969697
Global,12,central,18,0.0,53,6,0.803030303030303,8.833333333333334,11,0.8788419913419915,1,1.196969696969697
Global,12,central,19,2.842170943040401e-14,51,6,0.7727272727272727,8.5,11,0.8764850889850889,1,1.2272727272727273
Global,12,central,20,-0.1578809075521832,49,6,0.7424242424242424,8.166666666666666,11,0.8629028379028378,1,1.2575757575757576
